rowNum,Duration(Sec),Start date,StartTime,StartLat,StartLon,EndLat,EndLon,Walk Time,Transit Time,Waiting Time,Num Transfers,AltBikeTime
16300,569,05/26/2012,12:58:00 AM,38.9176,-77.0321,38.904742,-77.041606,170,618,689,1,481
16400,464,05/26/2012,2:58:00 AM,38.898069,-77.031823,38.9054,-77.0471,513,276,242,0,419
16500,452,05/26/2012,8:37:00 AM,38.9236,-77.0501,38.9268,-77.0322,371,846,242,0,359
16600,247,05/26/2012,9:37:00 AM,38.9059,-77.0325,38.9101,-77.0444,901,0,0,-1,245
16700,621,05/26/2012,10:16:00 AM,38.9003,-77.016,38.9101,-77.0444,713,360,242,0,584
16900,450,05/26/2012,11:09:00 AM,38.889955,-77.000349,38.899983,-76.991383,613,336,242,0,346
17000,412,05/26/2012,11:27:00 AM,38.928156,-77.02344,38.926088,-77.036536,66,426,242,0,247
17100,395,05/26/2012,11:47:00 AM,38.91554,-77.03818,38.9172,-77.0259,137,312,241,0,238
17200,406,05/26/2012,12:02:00 PM,38.9086,-77.0323,38.9154,-77.0446,378,606,499,1,357
17300,1122,05/26/2012,12:21:00 PM,38.887237,-77.028226,38.90276,-77.03863,180,312,242,0,556
17400,468,05/26/2012,12:36:00 PM,38.9319,-77.0388,38.9308,-77.0315,599,0,0,-1,204
17500,458,05/26/2012,12:50:00 PM,38.9059,-77.0325,38.893028,-77.026013,399,426,242,0,433
17600,733,05/26/2012,1:06:00 PM,38.898364,-77.027869,38.9176,-77.0321,124,834,242,0,487
17700,1718,05/26/2012,1:22:00 PM,38.893028,-77.026013,38.8952,-77.0436,696,612,242,0,435
17800,2817,05/26/2012,1:33:00 PM,38.898069,-77.031823,38.9155,-77.0222,722,510,242,0,524
17900,1278,05/26/2012,1:47:00 PM,38.9086,-77.0323,38.889955,-77.000349,433,1398,482,0,879
18000,540,05/26/2012,1:58:00 PM,38.8997,-77.023086,38.886266,-77.022241,270,336,242,0,340
18100,1469,05/26/2012,2:11:00 PM,38.922925,-77.042581,38.90774,-77.071652,532,1032,799,1,773
18200,274,05/26/2012,2:22:00 PM,38.9101,-77.0444,38.9121,-77.0387,499,0,0,-1,163
18400,231,05/26/2012,2:43:00 PM,38.90572,-77.022264,38.90304,-77.019027,442,0,0,-1,132
18500,2138,05/26/2012,2:57:00 PM,38.9121,-77.0387,38.878925,-77.024016,969,558,567,1,950
18700,976,05/26/2012,3:24:00 PM,38.905126,-77.056887,38.898069,-77.031823,226,672,242,0,514
18900,2175,05/26/2012,3:48:00 PM,38.894919,-77.046587,38.897446,-77.009888,67,1386,241,-1,804
19000,1243,05/26/2012,4:05:00 PM,38.912682,-77.031681,38.88412,-77.017445,388,1176,242,0,848
19200,979,05/26/2012,4:35:00 PM,38.932514,-76.992889,38.896999,-77.004962,439,1128,242,0,1036
19300,644,05/26/2012,4:48:00 PM,38.9126,-77.0135,38.897222,-77.019347,575,516,242,0,457
